LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000253661	6.85922196288168	0.488028337649073	0.00390243902439024	0.0428571428571429	112	55
ENSG00000249413	11.9233869523431	0.487414095916886	0.00390243902439024	0.0428571428571429	1	56
ENSG00000260115	11.9233869523431	0.487063097736246	0.00455284552845528	0.0466666666666667	1	57
ENSG00000258657	6.34759136033257	0.486178135089867	0.00455284552845528	0.0466666666666667	129	58
ENSG00000230838	6.98709126551692	0.485158291628126	0.00455284552845528	0.0466666666666667	103	59
ENSG00000243810	11.9233869523431	0.485129068400276	0.00455284552845528	0.0466666666666667	1	60
ENSG00000265579	3.94416913503045	0.483202016539271	0.0048780487804878	0.0476190476190476	287	61
ENSG00000250590	11.9233869523431	0.482796723928909	0.0048780487804878	0.0476190476190476	1	62
ENSG00000254417	5.87000382878433	0.480855496487901	0.0048780487804878	0.0476190476190476	150	63
ENSG00000229732	-5.38571421592753	0.478852451398087	0.00520325203252033	0.05	174	64
ENSG00000236212	11.9233869523431	0.478538297857503	0.00552845528455285	0.0523076923076923	1	65
ENSG00000258188	11.9233869523431	0.477242205582882	0.00585365853658537	0.0545454545454545	1	66
ENSG00000251151	7.7110631039092	0.476480424834594	0.00617886178861789	0.0558823529411765	94	67
ENSG00000244383	-4.53828266554604	0.476087598415687	0.00617886178861789	0.0558823529411765	227	68
ENSG00000240922	6.55638250848854	0.475778011946348	0.00650406504065041	0.0579710144927536	120	69
ENSG00000226053	11.9233869523431	0.474797377339451	0.00747967479674797	0.0657142857142857	1	70
ENSG00000226725	-6.9063980700141	0.473561582823085	0.00813008130081301	0.0674698795180723	111	71
ENSG00000233589	3.03234190588237	0.473130573294148	0.00813008130081301	0.0674698795180723	376	72
ENSG00000259974	-6.95286834442921	0.472759214291721	0.00845528455284553	0.0674698795180723	107	73
ENSG00000254282	-7.04679175398742	0.472085166168829	0.00845528455284553	0.0674698795180723	100	74
ENSG00000232325	11.9233869523431	0.471866742979403	0.00845528455284553	0.0674698795180723	1	75
ENSG00000231963	-7.04078867382391	0.470850781965907	0.00878048780487805	0.0674698795180723	101	76
ENSG00000266560	6.68065716734813	0.470550642445671	0.00910569105691057	0.0674698795180723	116	77
ENSG00000226070	-11.640204417123	0.470533093928432	0.00910569105691057	0.0674698795180723	78	78
ENSG00000226363	5.30231939847263	0.469447622345884	0.00910569105691057	0.0674698795180723	180	79
ENSG00000253394	11.9233869523431	0.468309252904142	0.00910569105691057	0.0674698795180723	1	80
ENSG00000236651	11.9233869523431	0.46785848140677	0.00910569105691057	0.0674698795180723	1	81
ENSG00000258240	11.9233869523431	0.467733682386378	0.00910569105691057	0.0674698795180723	1	82
ENSG00000253892	11.9233869523431	0.466509825042415	0.00910569105691057	0.0674698795180723	1	83
ENSG00000258331	5.97565051011692	0.466094313719662	0.00943089430894309	0.0690476190476191	146	84
ENSG00000110347	6.48804406073538	0.464254589434028	0.00975609756097561	0.0695652173913043	126	85
ENSG00000250777	11.9233869523431	0.464074708673865	0.0100813008130081	0.0695652173913043	1	86
ENSG00000253508	11.9233869523431	0.46402944720298	0.0100813008130081	0.0695652173913043	1	87
ENSG00000251361	11.9233869523431	0.463625305325347	0.0100813008130081	0.0695652173913043	1	88
ENSG00000231689	-4.33287900839778	0.463455705022691	0.0104065040650407	0.0695652173913043	248	89
ENSG00000248112	11.9233869523431	0.463048781402197	0.0104065040650407	0.0695652173913043	1	90
ENSG00000227400	11.9233869523431	0.462892509248474	0.0104065040650407	0.0695652173913043	1	91
ENSG00000233515	11.9233869523431	0.462609163959478	0.0104065040650407	0.0695652173913043	1	92
ENSG00000233078	-6.6118727797544	0.461648135844595	0.0107317073170732	0.0709677419354839	117	93
ENSG00000265069	5.25323378622715	0.461327972034849	0.0110569105691057	0.0723404255319149	181	94
ENSG00000265702	3.77180560173289	0.460727576350965	0.0113821138211382	0.0724137931034483	305	95
ENSG00000253554	11.9233869523431	0.460714539441396	0.0113821138211382	0.0724137931034483	1	96
ENSG00000255921	11.9233869523431	0.456628501927138	0.0123577235772358	0.0724137931034483	1	97
ENSG00000258927	11.9233869523431	0.456167852023116	0.0123577235772358	0.0724137931034483	1	98
ENSG00000230410	11.9233869523431	0.455636639885132	0.0123577235772358	0.0724137931034483	1	99
ENSG00000256321	11.9233869523431	0.455386055021246	0.0123577235772358	0.0724137931034483	1	100
ENSG00000242147	6.56291388828512	0.454164279824957	0.0126829268292683	0.0724137931034483	118	101
ENSG00000249001	11.9233869523431	0.454114991397646	0.0126829268292683	0.0724137931034483	1	102
ENSG00000259107	5.1786043681308	0.453371802845246	0.0126829268292683	0.0724137931034483	185	103
ENSG00000264660	6.07544782451417	0.453131197903642	0.0126829268292683	0.0724137931034483	140	104
ENSG00000236908	3.57587311234245	0.452899505271476	0.0130081300813008	0.0724137931034483	321	105
ENSG00000225062	2.48401566928876	0.452866067333803	0.0130081300813008	0.0724137931034483	434	106
ENSG00000254605	5.34576237035835	0.4523654035039	0.0136585365853659	0.0724137931034483	176	107
ENSG00000260922	4.4044649726229	0.451672332163105	0.0136585365853659	0.0724137931034483	242	108
ENSG00000228189	11.9233869523431	0.451548740948229	0.0136585365853659	0.0724137931034483	1	109
ENSG00000227964	11.9233869523431	0.450955332004795	0.0136585365853659	0.0724137931034483	1	110
ENSG00000234919	11.9233869523431	0.450281670166463	0.0136585365853659	0.0724137931034483	1	111
ENSG00000250697	6.07499260357368	0.449880552744735	0.0136585365853659	0.0724137931034483	141	112
ENSG00000237361	-4.63611508648278	0.449531299314655	0.0136585365853659	0.0724137931034483	220	113
ENSG00000229243	5.18608384850829	0.449320777649088	0.0136585365853659	0.0724137931034483	184	114
ENSG00000244040	-5.96331750847258	0.448533216594637	0.0136585365853659	0.0724137931034483	147	115
ENSG00000259672	9.73860466159045	0.448353087390018	0.0136585365853659	0.0724137931034483	83	116
ENSG00000224750	11.9233869523431	0.447889356434022	0.0143089430894309	0.075	1	117
ENSG00000237265	6.77868656154171	0.447365988846224	0.0146341463414634	0.075	115	118
ENSG00000236117	11.9233869523431	0.446943667674607	0.0146341463414634	0.075	1	119
ENSG00000260372	-3.90794105099785	0.44656829834174	0.0146341463414634	0.075	292	120
ENSG00000225548	11.9233869523431	0.445491269506386	0.015609756097561	0.0793388429752066	1	121
ENSG00000249641	6.94862538647516	0.444990825295315	0.016260162601626	0.0819672131147541	108	122
ENSG00000225087	6.2647325187493	0.444222290056927	0.0165853658536585	0.0829268292682927	131	123
ENSG00000230725	11.9233869523431	0.444008246041626	0.0169105691056911	0.0832	1	124
ENSG00000230061	4.28487765886905	0.443850982260825	0.0169105691056911	0.0832	250	125
ENSG00000225146	6.93190453455727	0.442965895867208	0.0172357723577236	0.0841269841269841	109	126
ENSG00000242781	11.9233869523431	0.442287745285607	0.0185365853658537	0.0885496183206107	1	127
ENSG00000257002	-4.72179297673745	0.441996363737497	0.0188617886178862	0.0885496183206107	217	128
ENSG00000234921	6.0903235075745	0.441575497522915	0.0188617886178862	0.0885496183206107	139	129
ENSG00000228437	9.91551194848726	0.441024273239482	0.0188617886178862	0.0885496183206107	82	130
ENSG00000235385	11.9233869523431	0.440365821974389	0.0188617886178862	0.0885496183206107	1	131
ENSG00000234948	11.9233869523431	0.439139263320404	0.0195121951219512	0.0895522388059701	1	132
ENSG00000204044	6.49508789029091	0.438922242375947	0.0195121951219512	0.0895522388059701	125	133
ENSG00000258670	6.55100252733131	0.437856386937007	0.0195121951219512	0.0895522388059701	122	134
ENSG00000265380	11.9233869523431	0.437579295784843	0.0198373983739837	0.0903703703703704	1	135
ENSG00000240661	11.9233869523431	0.436046924747348	0.0211382113821138	0.0948905109489051	1	136
ENSG00000253675	6.92159884934035	0.436029580380537	0.0211382113821138	0.0948905109489051	110	137
ENSG00000231453	3.68368017681429	0.435418892369445	0.0217886178861789	0.0964028776978417	315	138
ENSG00000253477	5.56254261964274	0.435297979146496	0.0217886178861789	0.0964028776978417	162	139
ENSG00000251281	6.18075474384969	0.434778581658865	0.0224390243902439	0.0978723404255319	136	140
ENSG00000232900	-4.48470797771121	0.43412707366228	0.0224390243902439	0.0978723404255319	235	141
ENSG00000233052	-4.07431370092551	0.43277157442488	0.0227642276422764	0.0985915492957747	270	142
ENSG00000233485	3.2788444810853	0.431146474225328	0.0234146341463415	0.0993103448275862	341	143
ENSG00000248554	3.94730087792898	0.431029542180407	0.0234146341463415	0.0993103448275862	284	144
ENSG00000265369	-5.84946111267322	0.431024286268721	0.0234146341463415	0.0993103448275862	152	145
ENSG00000224049	11.9233869523431	0.430309516154708	0.023739837398374	0.0993197278911565	1	146
ENSG00000232243	11.9233869523431	0.430128151786852	0.023739837398374	0.0993197278911565	1	147
ENSG00000250929	4.94872066199683	0.429073501715589	0.0240650406504065	0.0993288590604027	193	148
ENSG00000259760	6.9583508608048	0.428112762889407	0.0240650406504065	0.0993288590604027	106	149
ENSG00000259590	6.50640211018994	0.427904854738968	0.024390243902439	0.0993377483443709	124	150
ENSG00000227895	11.9233869523431	0.427827697032693	0.024390243902439	0.0993377483443709	1	151
ENSG00000236915	-5.34530534244899	0.426863887321135	0.0250406504065041	0.101315789473684	177	152
ENSG00000255983	2.51033990937656	0.425595155479566	0.0263414634146341	0.105194805194805	431	153
ENSG00000257636	7.49490684018421	0.425515086924183	0.0263414634146341	0.105194805194805	97	154
ENSG00000197085	4.50358937771996	0.425246631106039	0.0273170731707317	0.107692307692308	233	155
ENSG00000249035	3.27745028382217	0.42512916488125	0.0273170731707317	0.107692307692308	342	156
ENSG00000246876	5.4137465961372	0.424571670760954	0.0279674796747967	0.109554140127389	173	157
ENSG00000249082	-3.09786212321862	0.423185193394844	0.0299186991869919	0.116455696202532	367	158
ENSG00000248740	4.92815608298491	0.420105636781931	0.0338211382113821	0.130817610062893	194	159
ENSG00000223872	6.97072229499399	0.417454790511915	0.0357723577235772	0.1375	105	160
ENSG00000230115	-4.53400108052881	0.416688209546022	0.0377235772357724	0.144099378881988	228	161
ENSG00000235237	2.84665276421086	0.41579313730306	0.0383739837398374	0.145679012345679	392	162
ENSG00000241479	-6.82932313602715	0.415261250823886	0.0386991869918699	0.14601226993865	114	163
ENSG00000203446	4.56068981174633	0.414166143495334	0.0403252032520325	0.15030303030303	226	164
ENSG00000222032	11.9233869523431	0.414017844646159	0.0403252032520325	0.15030303030303	1	165
ENSG00000248329	4.77454621202254	0.413510131810771	0.0413008130081301	0.153012048192771	207	166
ENSG00000225882	11.9233869523431	0.413144480677581	0.0419512195121951	0.154491017964072	1	167
ENSG00000249550	6.19159848466206	0.411819530601251	0.0432520325203252	0.158333333333333	135	168
ENSG00000259201	-2.66733780957528	0.411251730755852	0.0439024390243902	0.159763313609467	413	169
ENSG00000238106	6.99829725632106	0.410308489424132	0.0448780487804878	0.162352941176471	102	170
ENSG00000253837	3.28410271621853	0.408670308432321	0.0458536585365854	0.164912280701754	340	171
ENSG00000228789	-6.5085465647444	0.407943387453175	0.0471544715447154	0.167630057803468	123	172
ENSG00000240086	7.58938111333344	0.407923413751425	0.0471544715447154	0.167630057803468	96	173
ENSG00000251187	-2.43758814177822	0.406449155384314	0.048130081300813	0.170114942528736	442	174
ENSG00000236107	3.42741207939696	0.405270723940331	0.0487804878048781	0.171270718232044	331	175
ENSG00000231638	4.76632831342843	0.403979917106114	0.0494308943089431	0.171270718232044	209	176
ENSG00000231062	-6.12930195768506	0.40331909904059	0.0497560975609756	0.171270718232044	137	177
ENSG00000241475	4.36427908202947	0.403270850885048	0.0497560975609756	0.171270718232044	245	178
ENSG00000188477	5.20992136172501	0.402608943782585	0.0504065040650407	0.171270718232044	183	179
ENSG00000236347	6.04090471534924	0.402592884685272	0.0504065040650407	0.171270718232044	142	180
ENSG00000258884	5.44018439704044	0.40238216019752	0.0504065040650407	0.171270718232044	171	181
ENSG00000198491	-6.11120726070197	0.401516140021331	0.0520325203252033	0.174863387978142	138	182
ENSG00000253406	-3.20511198721687	0.401395835417049	0.0520325203252033	0.174863387978142	350	183
ENSG00000236427	-4.56484270725228	0.399876241057585	0.0536585365853659	0.176595744680851	225	184
ENSG00000229191	6.21281100069085	0.399528136649407	0.0539837398373984	0.176595744680851	134	185
ENSG00000236039	5.11340891379815	0.399379352514269	0.0539837398373984	0.176595744680851	187	186
ENSG00000250493	-6.24804198609922	0.399268580432633	0.0539837398373984	0.176595744680851	132	187
ENSG00000229821	4.23714342030268	0.399152198981432	0.0539837398373984	0.176595744680851	255	188
ENSG00000226272	-4.44329059864815	0.398681128278076	0.0549593495934959	0.17720207253886	238	189
ENSG00000255267	7.65036684292998	0.397981297178753	0.055609756097561	0.17720207253886	95	190
ENSG00000224167	4.22237937229121	0.397687324836888	0.055609756097561	0.17720207253886	256	191
